07:00:00,Gregory Decker,entrance
07:00:00,Diane Williams,entrance
07:01:00,Gregory Decker,dairy
07:01:00,Diane Williams,fruit
07:01:00,Lindsay Henderson,drinks
07:02:00,Gregory Decker,spices
07:02:00,Lindsay Henderson,fruit
07:02:00,Daniel Rose,fruit
07:03:00,Diane Williams,checkout
07:03:00,Lindsay Henderson,checkout
07:03:00,Daniel Rose,checkout
07:03:00,Tina Fox,fruit
07:03:00,Michael Miller,spices
07:03:00,Joel Gutierrez,dairy
07:04:00,Gregory Decker,dairy
07:04:00,Michael Miller,checkout
07:04:00,Joel Gutierrez,checkout
07:04:00,Chase Robertson,fruit
07:05:00,Tina Fox,dairy
07:05:00,Chase Robertson,checkout
07:05:00,Jessica Ray,dairy
07:05:00,Manuel White,fruit
07:06:00,Tina Fox,checkout
07:06:00,Jessica Ray,checkout
07:06:00,Manuel White,drinks
07:06:00,Dakota Ellis,fruit
07:06:00,Brandi Trujillo,fruit
07:07:00,Gregory Decker,checkout
07:07:00,Brandi Trujillo,checkout
07:07:00,Seth Rodriguez,dairy
07:07:00,Joseph Thomas,spices
07:08:00,Seth Rodriguez,checkout
07:08:00,Crystal Li,spices
07:08:00,Stephanie Leach,dairy
07:09:00,Manuel White,checkout
07:09:00,Dakota Ellis,dairy
07:09:00,Joseph Thomas,drinks
07:09:00,Crystal Li,drinks
07:09:00,Michelle Ray,drinks
07:09:00,Andre Neal,drinks
07:10:00,Michelle Ray,fruit
07:10:00,Andre Neal,checkout
07:10:00,Brian Edwards,fruit
07:10:00,Eugene Anderson,dairy
07:10:00,David Lawrence,fruit
07:11:00,Dakota Ellis,checkout
07:11:00,Crystal Li,checkout
07:11:00,Michelle Ray,spices
07:11:00,Brian Edwards,dairy
07:11:00,David Lawrence,dairy
07:11:00,Gary Esparza,dairy
07:11:00,Gabriel Williams,dairy
07:12:00,Stephanie Leach,spices
07:12:00,Michelle Ray,checkout
07:12:00,David Lawrence,fruit
07:12:00,Gary Esparza,checkout
07:12:00,Gabriel Williams,checkout
07:12:00,William Bailey,drinks
07:12:00,Sheila Brewer,fruit
07:13:00,Stephanie Leach,drinks
07:13:00,Brian Edwards,checkout
07:13:00,William Bailey,checkout
07:13:00,Bethany Norman,spices
07:13:00,Gregory Patterson,drinks
07:14:00,Stephanie Leach,checkout
07:14:00,Eugene Anderson,checkout
07:14:00,Sheila Brewer,drinks
07:14:00,Wendy Miller,spices
07:15:00,David Lawrence,drinks
07:15:00,Sheila Brewer,dairy
07:15:00,Bethany Norman,fruit
07:15:00,Wendy Miller,drinks
07:15:00,Debra Flores,spices
07:16:00,Joseph Thomas,checkout
07:16:00,David Lawrence,checkout
07:16:00,Bethany Norman,checkout
07:16:00,Gregory Patterson,fruit
07:16:00,Wendy Miller,spices
07:16:00,Gina Morgan,dairy
07:16:00,Brian Cooper,spices
07:17:00,Sheila Brewer,fruit
07:17:00,Wendy Miller,dairy
07:17:00,Debra Flores,dairy
07:17:00,Mary Jones,fruit
07:18:00,Sheila Brewer,dairy
07:18:00,Gregory Patterson,drinks
07:18:00,Wendy Miller,checkout
07:18:00,Gina Morgan,drinks
07:18:00,Sarah Robertson,spices
07:19:00,Sheila Brewer,checkout
07:19:00,Debra Flores,checkout
07:19:00,Gina Morgan,checkout
07:19:00,Mary Jones,checkout
07:19:00,Victor Taylor,fruit
07:19:00,Nicole Wagner,fruit
07:20:00,Brian Cooper,dairy
07:20:00,Sarah Robertson,drinks
07:20:00,Victor Taylor,checkout
07:20:00,Jon Mcclure,dairy
07:20:00,Trevor Gordon,fruit
07:21:00,Gregory Patterson,spices
07:21:00,Brian Cooper,checkout
07:21:00,Trevor Gordon,checkout
07:21:00,Kevin Galloway,drinks
07:22:00,Gregory Patterson,dairy
07:22:00,Sarah Robertson,fruit
07:22:00,Nicole Wagner,spices
07:22:00,Jon Mcclure,checkout
07:22:00,Richard Vazquez,spices
07:22:00,Tyler Fuller,fruit
07:23:00,Sarah Robertson,spices
07:23:00,Nicole Wagner,fruit
07:23:00,Kevin Galloway,fruit
07:23:00,Richard Vazquez,dairy
07:23:00,Justin Smith,fruit
07:24:00,Sarah Robertson,drinks
07:24:00,Richard Vazquez,fruit
